Quotes,Question
"If you feel irritated by the absurd remarks of two people whose conversation you happen to overhear, you should imagine that you are listening to a dialogue of two fools in a comedy.","Dealing with Irritation"
"Do not shorten the morning by getting up late, or waste it in unworthy occupations or in talk; look upon it as the quintessence of life, as to a certain extent sacred. Evening is like old age: we are languid, talkative, silly. Each day is a little life: every waking and rising a little birth, every fresh morning a little youth, every going to rest and sleep a little death.","Value of Time and Daily Routine"
"The assumption that animals are without rights, and the illusion that our treatment of them has no moral significance, is a positively outrageous example of Western crudity and barbarity. Universal compassion is the only guarantee of morality.","Animal Rights and Compassion"
"Truth is no harlot who throws her arms round the neck of him who does not desire her; on the contrary, she is so coy a beauty that even the man who sacrifices everything to her can still not be certain of her favors.","Nature of Truth"
"We may divide thinkers into those who think for themselves and those who think through others. The latter are the rule and the former the exception. The first are original thinkers in a double sense, and egotists in the noblest meaning of the word.","Independent Thinking"
"I observed once to Goethe that when a friend is with us we do not think the same of him as when he is away. He replied, 'Yes! because the absent friend is yourself, and he exists only in your head; whereas the friend who is present has an individuality of his own, and moves according to laws of his own, which cannot always be in accordance with those which you form for yourself.'","Perception of Friends"
"Wealth is like sea-water; the more we drink, the thirstier we become; and the same is true of fame.","Insatiability of Wealth and Fame"
"Man is never happy, but spends his whole life in striving after something which he thinks will make him so.","Human Pursuit of Happiness"
"Compassion for animals is intimately associated with goodness of character, and it may be confidently asserted that he who is cruel to animals cannot be a good man.","Compassion and Character"
"After your death you will be what you were before your birth.","Existence and Death"
"We will gradually become indifferent to what goes on in the minds of other people when we acquire a knowledge of the superficial nature of their thoughts, the narrowness of their views and of the number of their errors. Whoever attaches a lot of value to the opinions of others pays them too much honor.","Indifference to Opinions"
"If anyone spends almost the whole day in reading...he gradually loses the capacity for thinking...This is the case with many learned persons; they have read themselves stupid.","Excessive Reading vs. Thinking"
"There is something in us that is wiser than our head.","Intuition"
"To feel envy is human, to savour schadenfreude is devilish.","Envy and Schadenfreude"
"To use many words to communicate few thoughts is everywhere the unmistakable sign of mediocrity. To gather much thought into few words stamps the man of genius.","Communication and Genius"
"Wicked thoughts and worthless efforts gradually set their mark on the face, especially the eyes.","Impact of Thoughts on Appearance"
"Vulgar people take huge delight in the faults and follies of great men.","Delight in the Faults of the Great"
"Consider the Koran... this wretched book was sufficient to start a world-religion, to satisfy the metaphysical need of countless millions for twelve hundred years, to become the basis of their morality and of a remarkable contempt for death, and also to inspire them to bloody wars and the most extensive conquests. In this book we find the saddest and poorest form of theism. Much may be lost in translation, but I have not been able to discover in it one single idea of value.","Critique of the Koran"
"Almost all of our sorrows spring out of our relations with other people.","Interpersonal Sorrows"
"We forfeit three-quarters of ourselves in order to be like other people.","Conformity"
"If children were brought into the world by an act of pure reason alone, would the human race continue to exist? Would not a man rather have so much sympathy with the coming generation as to spare it the burden of existence, or at any rate not take it upon himself to impose that burden upon it in cold blood?","Existence and Reproduction"
"Genius and madness have something in common: both live in a world that is different from that which exists for everyone else.","Genius and Madness"
"The life of every individual is really always a tragedy, but gone through in detail, it has the character of a comedy.","Life as Tragedy and Comedy"
"Every man takes the limits of his own field of vision for the limits of the world.","Subjective Perception"
"The real meaning of persona is a mask, such as actors were accustomed to wear on the ancient stage; and it is quite true that no one shows himself as he is, but wears his mask and plays his part. Indeed, the whole of our social arrangements may be likened to a perpetual comedy; and this is why a man who is worth anything finds society so insipid, while a blockhead is quite at home in it.","Social Masks and Society"
"The greatest of follies is to sacrifice health for any other kind of happiness.","Health vs. Other Happiness"
"What a man is contributes much more to his happiness than what he has or how he is regarded by others.","Being vs. Having"
"In the whole world there is no study so beneficial and so elevating as that of the Upanishads. It has been the solace of my life, it will be the solace of my death.","Value of the Upanishads"
"Mostly it is loss which teaches us about the worth of things.","Value of Loss"
"Man is the only animal who causes pain to others with no other object than wanting to do so.","Human Cruelty"
"The safest way of not being very miserable is not to expect to be very happy.","Managing Expectations"
"Reading is equivalent to thinking with someone else's head instead of with one's own.","Reading vs. Independent Thinking"
"Thus, the task is not so much to see what no one yet has seen, but to think what nobody yet has thought about that which everybody sees.","Original Thinking"
"Great men are like eagles, and build their nest on some lofty solitude.","Greatness and Solitude"
"Every miserable fool who has nothing at all of which he can be proud, adopts as a last resource pride in the nation to which he belongs; he is ready and happy to defend all its faults and follies tooth and nail, thus reimbursing himself for his own inferiority.","National Pride and Personal Inferiority"
"When you look back on your life, it looks as though it were a plot, but when you are into it, it's a mess: just one surprise after another. Then, later, you see it was perfect.","Life's Retrospective Perfection"
"Without books the development of civilization would have been impossible. They are the engines of change, windows on the world, 'Lighthouses' as the poet said 'erected in the sea of time.' They are companions, teachers, magicians, bankers of the treasures of the mind, Books are humanity in print.","Importance of Books"
"No rose without a thorn but many a thorn without a rose.","Reality of Pain and Pleasure"
"Men are by nature merely indifferent to one another; but women are by nature enemies.","Nature of Human Relationships"
"Pleasure is never as pleasant as we expected it to be and pain is always more painful. The pain in the world always outweighs the pleasure. If you don't believe it, compare the respective feelings of two animals, one of which is eating the other.","Pleasure vs. Pain"
"Our life is a loan received from death with sleep as the daily interest on this loan.","Life and Death"
"Nature shows that with the growth of intelligence comes increased capacity for pain, and it is only with the highest degree of intelligence that suffering reaches its supreme point.","Intelligence and Suffering"
"Optimism is not only a false but also a pernicious doctrine, for it presents life as a desirable state and man's happiness as its aim and object. Starting from this, everyone then believes he has the most legitimate claim to happiness and enjoyment. If, as usually happens, these do not fall to his lot, he believes that he suffers an injustice, in fact that he misses the whole point of his existence.","Critique of Optimism"
"If God made the world, I would not be that God, for the misery of the world would break my heart.","God and the Misery of the World"
"What disturbs and depresses young people is the hunt for happiness on the firm assumption that it must be met with in life. From this arises constantly deluded hope and so also dissatisfaction. Deceptive images of a vague happiness hover before us in our dreams, and we search in vain for their original. Much would have been gained if, through timely advice and instruction, young people could have had eradicated from their minds the erroneous notion that the world has a great deal to offer them.","Disillusionment with Life"
"Life is full of troubles and vexations, that one must either rise above it by means of corrected thoughts, or leave it.","Dealing with Life's Troubles"
"Style is what gives value and currency to thoughts.","Importance of Style"
"A sense of humour is the only divine quality of man.","Value of Humor"
"Every time a man is begotten and born, the clock of human life is wound up anew to repeat once more its same old tune that has already been played innumerable times, movement by movement and measure by measure, with insignificant variations.","Repetition of Life"
"Religions are like fireflies. They require darkness in order to shine.","Nature of Religions"
"That human life must be some kind of mistake is sufficiently proved by the simple observation that man is a compound of needs which are hard to satisfy; that their satisfaction achieves nothing but a painless condition in which he is only given over to boredom . . .","Human Life as a Mistake"
"The greatest wisdom is to make the enjoyment of the present the supreme object of life; because that is the only reality, all else being merely the play of thought. On the other hand, such a course might just as well be called the greatest folly: for that which in the next moment exists no more, and vanishes utterly, like a dream, can never be worth a serious effort.","Enjoyment of the Present"
"The deep pain that is felt at the death of every friendly soul arises from the feeling that there is in every individual something which is inexpressible,peculiar to him alone,and is, therefore,absolutely and irretrievably lost.","Pain of Loss"
"Men are the devils of the earth, and the animals are its tormented souls.","Human Cruelty to Animals"
"The bad thing about all religions is that, instead of being able to confess their allegorical nature, they have to conceal it.","Critique of Religions"
"Genius is its own reward; for the best that one is, one must necessarily be for oneself. . . . Further, genius consists in the working of the free intellect., and as a consequence the productions of genius serve no useful purpose. The work of genius may be music, philosophy, painting, or poetry; it is nothing for use or profit. To be useless and unprofitable is one of the characteristics of genius; it is their patent of nobility.","Nature of Genius"
"Life without pain has no meaning.","Meaning of Pain in Life"
"Students and scholars of all kinds and of every age aim, as a rule, only at information, not insight. They make it a point of honour to have information about everything, every stone, plant, battle, or experiment and about all books, collectively and individually. It never occurs to them that information is merely a means to insight, but in itself is of little or no value.","Information vs. Insight"
"All religions promise a reward beyond life, in eternity, for excellences of the will or heart, but none for excellences of the head or understanding.","Religions and Rewards"
"Hatred is an affair of the heart; contempt that of the head.","Hatred vs. Contempt"
"Suicide may also be regarded as an experiment - a question which man puts to Nature, trying to force her to answer. The question is this: What change will death produce in a man's existence and in his insight into the nature of things? It is a clumsy experiment to make; for it involves the destruction of the very consciousness which puts the question and awaits the answer.","Suicide as an Experiment"
"It is a clear gain to sacrifice pleasure in order to avoid pain.","Sacrifice for Avoiding Pain"
"One should use common words to say uncommon things.","Simplicity in Expression"
"To be alone is the fate of all great minds. A fate deplored at times, but still always chosen as the less grievous of two evils.","Solitude of Great Minds"
"Life is a constant process of dying.","Life and Death"
"Intellect is invisible to the man who has none.","Perception of Intellect"
"The world is not a factory and animals are not products for our use.","Animal Rights and Utilitarianism"
"Life is a business that does not cover the costs.","Economic View of Life"
"The art of not reading is a very important one. It consists in not taking an interest in whatever may be engaging the attention of the general public at any particular time. When some political or ecclesiastical pamphlet, or novel, or poem is making a great commotion, you should remember that he who writes for fools always finds a large public. A precondition for reading good books is not reading bad ones: for life is short.","Selective Reading"
"There is no opinion, however absurd, which men will not readily embrace as soon as they can be brought to the conviction that it is generally adopted.","Absurdity of Popular Opinion"
"The present is the only reality and the only certainty.","Reality of the Present"
"Scoundrels are always sociable.","Sociability of Scoundrels"
"A man of genius can hardly be sociable, for what dialogues could indeed be so intelligent and entertaining as his own monologues?","Solitude of Genius"
"People of Wealth and the so called upper class suffer the most from boredom.","Boredom of the Wealthy"
"The tallest oak tree once was an acorn that any pig could have swallowed.","Potential and Growth"
"This world could not have been the work of an all-loving being, but that of a devil, who had brought creatures into existence in order to delight in the sight of their sufferings.","Pessimistic View of Creation"
"The reason domestic pets are so lovable and so helpful to us is because they enjoy, quietly and placidly, the present moment.","Value of Pets"
"However, for the man who studies to gain insight, books and studies are merely rungs of the ladder on which he climbs to the summit of knowledge. As soon as a rung has raised him up one step, he leaves it behind. On the other hand, the many who study in order to fill their memory do not use the rungs of the ladder for climbing, but take them off and load themselves with them to take away, rejoicing at the increasing weight of the burden. They remain below forever, because they bear what should have bourne them.","Purpose of Study"
"No greater mistake can be made than to imagine that what has been written latest is always the more correct; that what is written later on is an improvement on what was written previously; and that every change means progress.","Fallacy of Progress"
"Our civilized world is nothing but a great masquerade. You encounter knights, parsons, soldiers, doctors, lawyers, priests, philosophers and a thousand more: but they are not what they appear - they are merely masks... Usually, as I say, there is nothing but industrialists, businessmen and speculators concealed behind all these masks.","Masquerade of Society"
"In their hearts women think that it is men's business to earn money and theirs to spend it.","Gender Roles"
"The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity.","Perspectives of Professions"
"What people commonly call Fate is, as a general rule, nothing but their own stupid and foolish conduct.","Nature of Fate"
"There is not a grain of dust, not an atom that can become nothing, yet man believes that death is the annihilation of his being.","Misconception of Death"
"This is the case with many learned persons; they have read themselves stupid.","Excessive Reading vs. Thinking"
"I constantly saw the false and the bad, and finally the absurd and the senseless, standing in universal admiration and honour.","Admiration of the Absurd"
"The young should early be trained to bear being left alone; for it is a source of happiness and peace of mind.","Value of Solitude"
"Each day is a little life: every waking and rising a little birth, every fresh morning a little youth, every going to rest and sleep a little death.","Daily Life as a Cycle"
"Our first ideas of life are generally taken from fiction rather than fact.","Influence of Fiction on Life"
"If the lives of men were relieved of all need, hardship and adversity; if everything they took in hand were successful, they would be so swollen with arrogance that, though they might not burst, they would present the spectacle of unbridled folly-nay, they would go mad. And I may say, further, that a certain amount of care or pain or trouble is necessary for every man at all times. A ship without ballast is unstable and will not go straight.","Necessity of Hardship"
"Human life, like all inferior goods, is covered on the outside with a false glitter; what suffers always conceals itself.","Appearance vs. Reality"
"There is only one inborn error. and that is the notion that we exist in order to be happy.","Inborn Error of Happiness"
"Any foolish boy can stamp on a beetle, but all the professors in the world cannot make a beetle.","Value of Life"
"Men are a thousand times more intent on becoming rich than on acquiring culture, though it is quite certain that what a man IS contributes more to his happiness than what he HAS.","Being vs. Having"
"Materialism is the philosophy of the subject who forgets to take account of himself.","Critique of Materialism"
"Intellect is a magnitude of intensity, not a magnitude of extensity.","Nature of Intellect"
"Just as one spoils the stomach by overfeeding and thereby impairs the whole body, so can one overload and choke the mind by giving it too much nourishment. For the more one reads the fewer are the traces left of what one has read; the mind is like a tablet that has been written over and over. Hence it is impossible to reflect; and it is only by reflection that one can assimilate what one has read. If one reads straight ahead without pondering over it later, what has been read does not take root, but is for the most part lost.","Overloading the Mind"
"There are two things which make it impossible to believe that this world is the successful work of an all-wise, all-good, and at the same time, all-powerful being; firstly, the misery which abounds in it everywhere; and secondly, the obvious imperfection of its highest product, man, who is a burlesque of what he should be.","Imperfection of Creation"
"Still, instead of trusting what their own minds tell them, men have as a rule a weakness for trusting others who pretend to supernatural sources of knowledge.","Trust in Supernatural Sources"
"A man can be himself only so long as he is alone.","Solitude and Self"
"A man can surely do what he wills to do, but cannot determine what he wills.","Free Will and Determinism"
"The highest, most varied and lasting pleasures are those of the mind.","Pleasures of the Mind"
"If a man wants to read good books, he must make a point of avoiding bad ones; for life is short, and time and energy limited.","Selective Reading"
"We seldom speak of what we have but often of what we lack.","Focus on Lack"
"It would be better if there were nothing. Since there is more pain than pleasure on earth, every satisfaction is only transitory, creating new desires and new distresses, and the agony of the devoured animal is always far greater than the pleasure of the devourer.","Pessimistic View of Life"
"There is only one inborn erroneous notion ... that we exist in order to be happy ... So long as we persist in this inborn error ... the world seems to us full of contradictions. For at every step, in great things and small, we are bound to experience that the world and life are certainly not arranged for the purpose of maintaining a happy existence ... hence the countenances of almost all elderly persons wear the expression of ... disappointment.","Inborn Error of Happiness"
"Rudeness is better than any argument; it totally eclipses intellect.","Value of Rudeness"
"Patriotism is the passion of fools and the most foolish of passions.","Critique of Patriotism"
"I owe what is best in my own development to the impression made by Kant's works, the sacred writings of the Hindus, and Plato.","Influences on Personal Development"
"Every nation ridicules other nations, and all are right.","National Ridicule"
"First the truth is ridiculed. Then it meets outrage. Then it is said to have been obvious all along.","Stages of Truth Acceptance"
"It is a wise thing to be polite; consequently, it is a stupid thing to be rude. To make enemies by unnecessary and willful incivility, is just as insane a proceeding as to set your house on fire. For politeness is like a counter--an avowedly false coin, with which it is foolish to be stingy.","Importance of Politeness"
"With health, everything is a source of pleasure; without it, nothing else, whatever it may be, is enjoyable...Health is by far the most important element in human happiness.","Importance of Health"
"Every generation, no matter how paltry its character, thinks itself much wiser than the one immediately preceding it, let alone those that are more remote.","Generational Wisdom"
"Journalists are like dogs, whenever anything moves they begin to bark.","Critique of Journalists"
"Truth that is naked is the most beautiful, and the simpler its expression the deeper is the impression it makes.","Simplicity of Truth"
"Dissimulation is innate in woman, and almost as much a quality of the stupid as of the clever.","Nature of Dissimulation"
"Everybody's friend is nobody's.","Value of True Friendship"
"Many books serve merely to show how many ways there are of being wrong, and how far astray you yourself would go if you followed their guidance. You should read only when your own thoughts dry up.","Value of Reading"
"I am often surprised by the cleverness, and now and again by the stupidity, of my dog; and I have similar experiences with mankind.","Observations of Cleverness and Stupidity"
"Every satisfaction he attains lays the seeds of some new desire, so that there is no end to the wishes of each individual will.","Endless Desires"
"Pantheism is only a polite form of atheism.","Critique of Pantheism"
"Style is the physiognomy of the mind. It is more infallible than that of the body. To imitate the style of another is said to be wearing a mask. However beautiful it may be, it is through its lifelessness insipid and intolerable, so that even the most ugly living face is more engaging.","Nature of Style"
"There is in the world only the choice between loneliness and vulgarity. All young people should be taught now to put up with loneliness ... because the less man is compelled to come into contact with others, the better off he is.","Loneliness vs. Vulgarity"
"Were an Asiatic to ask me for a definition of Europe, I should be forced to answer him: It is that part of the world which is haunted by the incredible delusion that man was created out of nothing, and that his present birth is his first entrance into life.","Critique of European Delusions"
"The man never feels the want of what it never occurs to him to ask for.","Unrecognized Desires"
"Restlessness is the hallmark of existence.","Restlessness of Existence"
"Man may have the most excellent judgment in all other matters, and yet go wrong in those which concern himself; because here the will comes in and deranges the intellect at once. Therefore let a man take counsel of a friend. A doctor can cure everyone but himself; if he falls ill, he sends for a colleague.","Limitations of Self-Judgment"
"Animals learn death first at the moment of death;...man approaches death with the knowledge it is closer every hour, and this creates a feeling of uncertainty over his life, even for him who forgets in the business of life that annihilation is awaiting him. It is for this reason chiefly that we have philosophy and religion.","Human Awareness of Death"
"Men best show their character in trifles, where they are not on their guard. It is in the simplest habits, that we often see the boundless egotism which pays no regard to the feelings of others and denies nothing to itself.","Character Revealed in Trifles"
"Change alone is eternal, perpetual, immortal.","Eternity of Change"
"That a god like Jehovah should have created this world of misery and woe, out of pure caprice, and because he enjoyed doing it, and should then have clapped his hands in praise of his own work, and declared everything to be very good-that will not do at all!","Critique of Creation"
"Exaggeration of every kind is as essential to journalism as it is to dramatic art, for the object of journalism is to make events go as far as possible.","Role of Exaggeration in Journalism"
"Life is short and truth works far and lives long: let us speak the truth.","Importance of Speaking the Truth"
"I have not yet spoken my last word about women. I believe that if a woman succeeds in withdrawing from the mass, or rather raising herself from above the mass, she grows ceaselessly and more than a man.","Growth of Women Beyond the Mass"
"Every parting gives a foretaste of death, every reunion a hint of the resurrection.","Parting and Reunion"
"Whatever torch we kindle, and whatever space it may illuminate, our horizon will always remain encircled by the depth of night.","Limited Illumination"
"To forgive and forget means to throw away dearly bought experience.","Critique of Forgiveness"
"Because Christian morality leaves animals out of account, they are at once outlawed in philosophical morals; they are mere 'things,' mere means to any ends whatsoever. They can therefore be used for vivisection, hunting, coursing, bullfights, and horse racing, and can be whipped to death as they struggle along with heavy carts of stone. Shame on such a morality that is worthy of pariahs, and that fails to recognize the eternal essence that exists in every living thing, and shines forth with inscrutable significance from all eyes that see the sun!","Critique of Christian Morality"
"The nobler and more perfect a thing is, the later and slower it is in arriving at maturity. A man reaches the maturity of his reasoning powers and mental faculties hardly before the age of twenty-eight; a woman at eighteen.","Maturity"
"There is no doubt that life is given us, not to be enjoyed, but to be overcome; to be got over.","Purpose of Life"
"How very paltry and limited the normal human intellect is, and how little lucidity there is in the human consciousness, may be judged from the fact that, despite the ephemeral brevity of human life, the uncertainty of our existence and the countless enigmas which press upon us from all sides, everyone does not continually and ceaselessly philosophize, but that only the rarest of exceptions do.","Limitations of Human Intellect"
"To desire immortality is to desire the eternal perpetuation of a great mistake.","Critique of Immortality"
"There is not much to be got anywhere in the world. It is filled with misery and pain; if a man escapes these, boredom lies in wait for him at every corner. Nay more; it is evil which generally has the upper hand, and folly that makes the most noise. Fate is cruel and mankind pitiable.","Pessimistic View of Life"
"Whoever wants his judgment to be believed, should express it coolly and dispassionately; for all vehemence springs from the will. And so the judgment might be attributed to the will and not to knowledge, which by its nature is cold.","Expressing Judgment"
"Our moral virtues benefit mainly other people; intellectual virtues, on the other hand, benefit primarily ourselves; therefore the former make us universally popular, the latter unpopular.","Moral vs. Intellectual Virtues"
"Imagination is strong in a man when that particular function of the brain which enables him to observe is roused to activity without any necessary excitement of the sense. Accordingly, we find that imagination is active just in proportion as our sense are not excited by external objects. A long period of solitude, whether in prison or in a sick room; quiet, twilight, darkness-these are the things that promote its activity; and under their influence it comes into play of itself.","Conditions for Imagination"
"The first forty years of life give us the text; the next thirty supply the commentary on it.","Life's Text and Commentary"
"To attain something desired is to discover how vain it is; and though we live all our lives in expectation of better things, we often at the same time long regretfully for what is past. The present, on the other hand, is regarded as something quite temporary and serving only as the road to our goal. That is why most men discover when they look back on their life that they have the whole time been living ad interim, and are surprised to see that which they let go by so unregarded and unenjoyed was precisely their life, was precisely in expectation of which they lived.","Living in Expectation"
"The fourfold root of the principle of sufficient reason is 'Anything perceived has a cause. All conclusions have premises. All effects have causes. All actions have motives.'","Principle of Sufficient Reason"
"Politeness is a tacit agreement that people's miserable defects, whether moral or intellectual, shall on either side be ignored and not be made the subject of reproach.","Purpose of Politeness"
"Human existence is an error...it is bad today and every day it gets worse, until the worst happens.","Human existance"
"The little incidents and accidents of every day fill us with emotion, anxiety, annoyance, passion, as long as they are close to us, when they appear so big, so important, so serious; but as soon as they are borne down the restless stream of time they lose what significance they had; we think no more of them and soon forget them altogether. They were big only because they were near.","Triviality of Incidents"
"I have long held the opinion that the amount of noise that anyone can bear undisturbed stands in inverse proportion to his mental capacity and therefore be regarded as a pretty fair measure of it.","Noise Tolerance and Mental Capacity"
"If a relationship is perfectly natural there will be a complete fusion of the happiness of both of you-owing to fellow-feeling and various other laws which govern our natures, this is, quite simply, the greatest happiness that can exist.","Natural Relationship and Happiness"
"The charlatan takes very different shapes according to circumstances; but at bottom he is a man who cares nothing about knowledge for its own sake, and only strives to gain the semblance of it that he may use it for his own personal ends, which are always selfish and material.","Nature of the Charlatan"
"A major difficulty in translation is that a word in one language seldom has a precise equivalent in another one.","Languages and translation"
"Every truth passes through three stages before it is recognized: 1) Ridicule 2) Opposition 3) Accepted as self-evident.","Stages of Truth"
"The difficulty is to try and teach the multitude that something can be true and untrue at the same time.","Paradoxical Truth"
"In our monogamous part of the world, to marry means to halve one's rights and double one's duties.","Marriage and Duties"
"There is one respect in which beasts show real wisdom... their quiet, placid enjoyment of the present moment.","Wisdom of Beasts"
"If I maintain my silence about my secret it is my prisoner... if I let it slip from my tongue, I am ITS prisoner.","Power of Secrets"
"Faith is like love: it does not let itself be forced.","Nature of Faith"
"A man's delight in looking forward to and hoping for some particular satisfaction is a part of the pleasure flowing out of it, enjoyed in advance. But this is afterward deducted, for the more we look forward to anything the less we enjoy it when it comes.","Pleasure and Anticipation"
"If the world were a paradise of luxury and ease, a land flowing with milk and honey, where every Jack obtained his Jill at once and without any difficulty, men would either die of boredom or hang themselves; or there would be wars, massacres, and murders; so that in the end mankind would inflict more suffering on itself than it has now to accept at the hands of Nature.","Consequences of Utopia"
"It is in the treatment of trifles that a person shows what they are.","Revealing Character in Trifles"
"Poverty and slavery are thus only two forms of the same thing, the essence of which is that a man's energies are expended for the most part not on his own behalf but on that of others.","Poverty and Slavery"
"Life to the great majority is only a constant struggle for mere existence, with the certainty of losing it at last.","Struggle for Existence"
"For, after all, the foundation of our whole nature, and, therefore, of our happiness, is our physique, and the most essential factor in happiness is health, and, next in importance after health, the ability to maintain ourselves in independence and freedom from care.","Foundation of Happiness"
"The scenes and events of long ago, and the persons who took part in them, wear a charming aspect to the eye of memory, which sees only the outlines and takes no note of disagreeable details. The present enjoys no such advantage, and so it always seems defective.","Nostalgia and Memory"
"Suffering by nature or chance never seems so painful as suffering inflicted on us by the arbitrary will of another.","Arbitrary Suffering"
"Compassion is the basis of morality.","Basis of Morality"
"The effect of music is so very much more powerful and penetrating than is that of the other arts, for these others speak only of the shadow, but music of the essence.","Power of Music"
"To become indignant at people's conduct is as foolish as to be angry with a stone because it rolls into your path. And with many people the wisest thing you can do, is to resolve to make use of those whom you cannot alter.","Dealing with People"
"Politeness is to human nature what warmth is to wax.","Importance of Politeness"
"For it is a matter of daily observation that people take the greatest pleasure in that which satisfies their vanity; and vanity cannot be satisfied without comparison with others.","Pleasure and Vanity"
"No one knows what capacities for doing and suffering he has in himself, until something comes to rouse them to activity: just as in a pond of still water, lying there like a mirror, there is no sign of the roar and thunder with which it can leap from the precipice, and yet remain what it is; or again, rise high in the air as a fountain. When water is as cold as ice, you can have no idea of the latent warmth contained in it.","Latent Capacities"
"Noise is the most impertinent of all forms of interruption. It is not only an interruption, but also a disruption of thought.","Disruption of Noise"
"Necessity is the constant scourge of the lower classes, ennui of the higher ones.","Necessity and Ennui"
"For our improvement we need a mirror.","Need for Reflection"
"To conceal a want of real ideas, many make for themselves an imposing apparatus of long compound words, intricate flourishes and phrases, new and unheard-of expressions, all of which together furnish an extremely difficult jargon that sounds very learned. Yet with all this they say-precisely nothing.","Empty Jargon"
"A man's face as a rule says more, and more interesting things, than his mouth, for it is a compendium of everything his mouth will ever say, in that it is the monogram of all this man's thoughts and aspirations.","Expressiveness of the Face"
"Hope is the confusion of the desire for a thing with its probability.","Nature of Hope"
"Mankind cannot get on without a certain amount of absurdity.","Need for Absurdity"
"When a man has reached a condition in which he believes that a thing must happen because he does not wish it, and that what he wishes to happen never will be, this is really the state called desperation.","State of Desperation"
"In early youth, as we contemplate our coming life, we are like children in a theatre before the curtain is raised, sitting there in high spirits and eagerly waiting for the play to begin. It is a blessing that we do not know what is really going to happen. Could we foresee it, there are times when children might seem like innocent prisoners, condemned, not to death, but to life, and as yet all unconscious of what their sentence means.","Innocence of Youth"
"If we were not all so interested in ourselves, life would be so uninteresting that none of us would be able to endure it.","Self-Interest"
"No one can transcend their own individuality.","Limits of Individuality"
"As the biggest library if it is in disorder is not as useful as a small but well-arranged one, so you may accumulate a vast amount of knowledge but it will be of far less value than a much smaller amount if you have not thought it over for yourself.","Value of Organized Knowledge"
"It is most important to allow the brain the full measure of sleep which is required to restore it; for sleep is to a man's whole nature what winding up is to a clock.","Importance of Sleep"
"Will without intellect is the most vulgar and common thing in the world, possessed by every blockhead, who, in the gratification of his passions, shows the stuff of which he is made.","Will and Intellect"
"Ignorance is degrading only when found in company with great riches.","Ignorance and Riches"
"Human life must be some form of mistake.","Human Life"
"It is with trifles, and when he is off guard, that a man best reveals his character.","Revealing Character in Trifles"
"Universal compassion is the only guarantee of morality.","Guarantee of Morality"
